dmel	dana	dvir	dpse	dsec	dwil	dper	dyak	dsim	dere	dgri	dmoj
dmel-FBgn0000064	dana-FBgn0165140	dvir-FBgn0215325	dpse-FBgn0228487	dsec-FBgn0189683	dwil-FBgn0104485	dper-FBgn0125646	dyak-FBgn0132897	dsim-FBgn0093061	dere-FBgn0210451	dgri-FBgn0079326	dmoj-GI10131
dmel-FBgn0000071	dana-FBgn0145617	dvir-FBgn0094206	dpse-FBgn0210406	dsec-FBgn0012690	dwil-FBgn0165859	dper-FBgn0214262	dyak-FBgn0159367	dsim-FBgn0241979	dere-FBgn0046919	dgri-FBgn0105929	dmoj-FBgn0125599
dmel-FBgn0000075	dana-FBgn0136731	dvir-FBgn0091729	dpse-FBgn0017805	dsec-FBgn0046148	dwil-FBgn0172236	dper-FBgn0046127	dyak-FBgn0046160	dsim-FBgn0158779	dere-FBgn0230925	dgri-FBgn0018304	dmoj-FBgn0046204
dmel-FBgn0000077	dana-FBgn0137217	dvir-FBgn0096106	dpse-FBgn0205948	dsec-FBgn0071475	dwil-FBgn0177197	dper-FBgn0227752	dyak-FBgn0155882	dsim-FBgn0233036	dere-FBgn0195895	dgri-FBgn0111193	dmoj-FBgn0120179
dmel-FBgn0000078	dana-FBgn0142683	dvir-FBgn0261677	dpse-FBgn0261676	dsec-FBgn0274898	dwil-FBgn0013065	dper-FBgn0012691	dyak-FBgn0012692	dsim-FBgn0012783	dere-FBgn0223536	dgri-FBgn0223748	dmoj-FBgn0022556
dmel-FBgn0000079	dana-FBgn0142683	dvir-FBgn0261677	dpse-FBgn0261676	dsec-FBgn0274898	dwil-FBgn0013065	dper-FBgn0012691	dyak-FBgn0012692	dsim-FBgn0012783	dere-FBgn0223536	dgri-FBgn0223748	dmoj-FBgn0022556
dmel-FBgn0000083	dana-FBgn0145174	dvir-FBgn0093514	dpse-FBgn0198275	dsec-FBgn0079088	dwil-FBgn0169981	dper-FBgn0216186	dyak-FBgn0149548	dsim-FBgn0190894	dere-FBgn0116453	dgri-FBgn0124793	dmoj-GI22446
dmel-FBgn0000084	dana-FBgn0133856	dvir-FBgn0097455	dpse-FBgn0202967	dsec-FBgn0243578	dwil-FBgn0177557	dper-FBgn0227555	dyak-FBgn0150523	dsim-FBgn0232944	dere-FBgn0194323	dgri-FBgn0110225	dmoj-FBgn0119566
dmel-FBgn0000092	dana-FBgn0139003	dvir-FBgn0098373	dpse-FBgn0203900	dsec-FBgn0075427	dwil-FBgn0173768	dper-FBgn0221971	dyak-FBgn0155843	dsim-FBgn0013174	dere-FBgn0063996	dgri-FBgn0110826	dmoj-FBgn0120156
dmel-FBgn0000094	dana-FBgn0025847	dvir-FBgn0046894	dpse-FBgn0025411	dsec-Anp			dyak-Anp	dsim-Anp			
dmel-FBgn0000097	dana-FBgn0139717	dvir-FBgn0092330	dpse-FBgn0023229	dsec-FBgn0076388	dwil-FBgn0178539	dper-FBgn0217144	dyak-FBgn0157019	dsim-FBgn0232811	dere-FBgn0194265	dgri-FBgn0116686	dmoj-FBgn0118955
dmel-FBgn0000100	dana-FBgn0136532	dvir-FBgn0087986	dpse-FBgn0200805	dsec-FBgn0080384	dwil-FBgn0177299	dper-FBgn0222440	dyak-FBgn0068063	dsim-FBgn0276479	dere-FBgn0186691	dgri-FBgn0108479	dmoj-FBgn0122143
dmel-FBgn0000108	dana-FBgn0137590	dvir-FBgn0099096	dpse-FBgn0206647	dsec-FBgn0080541	dwil-FBgn0173976	dper-FBgn0218437	dyak-FBgn0158971	dsim-FBgn0234121	dere-FBgn0188117	dgri-FBgn0105072	dmoj-FBgn0131652
dmel-FBgn0000109	dana-FBgn0134763	dvir-FBgn0101942	dpse-FBgn0200502	dsec-FBgn0169083	dwil-FBgn0221709	dper-FBgn0162404	dyak-FBgn0238192	dsim-FBgn0185140	dere-FBgn0106806	dgri-FBgn0122770	dmoj-GI12006
dmel-FBgn0000114	dana-FBgn0140684	dvir-FBgn0091219	dpse-FBgn0204884	dsec-FBgn0247102	dwil-FBgn0181616	dper-FBgn0217498	dyak-FBgn0156223	dsim-FBgn0235987	dere-FBgn0195198	dgri-FBgn0115915	dmoj-FBgn0119122
dmel-FBgn0000115	dana-FBgn0134639	dvir-FBgn0101100	dpse-FBgn0200799	dsec-FBgn0079303	dwil-FBgn0180428	dper-FBgn0226455	dyak-FBgn0150353	dsim-FBgn0240083	dere-FBgn0186266	dgri-FBgn0108175	dmoj-FBgn0122254
dmel-FBgn0000116	dana-FBgn0139303	dvir-FBgn0100504	dpse-FBgn0200042	dsec-FBgn0076639	dwil-FBgn0179755	dper-FBgn0278980	dyak-FBgn0152684	dsim-FBgn0238532	dere-FBgn0270458	dgri-FBgn0107294	dmoj-FBgn0123373
dmel-FBgn0000117	dana-FBgn0144490	dvir-FBgn0096481	dpse-FBgn0206283	dsec-FBgn0248967	dwil-FBgn0173844	dper-FBgn0218378	dyak-FBgn0234484	dsim-FBgn0188022	dere-FBgn0104958	dgri-FBgn0125316	dmoj-GI21760
dmel-FBgn0000119	dana-FBgn0144067	dvir-FBgn0088223	dpse-FBgn0206824	dsec-FBgn0079220	dwil-FBgn0175159	dper-FBgn0217924	dyak-FBgn0154677	dsim-FBgn0231039	dere-FBgn0197040	dgri-FBgn0114660	dmoj-FBgn0130609
dmel-FBgn0000120	dana-FBgn0140677	dvir-FBgn0091838	dpse-FBgn0204878	dsec-FBgn0201886	dwil-FBgn0079074	dper-FBgn0172171	dyak-FBgn0220170	dsim-FBgn0152257	dere-FBgn0068531	dgri-FBgn0195482	dmoj-FBgn0113286
dmel-FBgn0000121	dana-FBgn0135171	dvir-FBgn0087193	dpse-FBgn0199555	dsec-FBgn0079258	dwil-FBgn0179784	dper-FBgn0219473	dyak-FBgn0147902	dsim-FBgn0238556	dere-FBgn0184693	dgri-FBgn0107319	dmoj-FBgn0130747
dmel-FBgn0000137	dana-FBgn0133763	dvir-FBgn0098453	dpse-FBgn0202788	dsec-FBgn0077021	dwil-FBgn0173966	dper-FBgn0227231	dyak-FBgn0157977	dsim-FBgn0157976	dere-FBgn0022827	dgri-FBgn0188111	dmoj-FBgn0043711
dmel-FBgn0000139	dana-FBgn0146737	dvir-FBgn0094236	dpse-FBgn0210742	dsec-FBgn0248221	dwil-FBgn0181468	dper-FBgn0212976	dyak-FBgn0151219	dsim-FBgn0240682	dere-FBgn0192569	dgri-FBgn0103607	dmoj-FBgn0125906
dmel-FBgn0000140	dana-FBgn0146747	dvir-FBgn0100039	dpse-FBgn0210751	dsec-FBgn0248223	dwil-FBgn0181475	dper-FBgn0216041	dyak-FBgn0151228	dsim-FBgn0240690	dere-FBgn0192578	dgri-FBgn0103616	dmoj-FBgn0125915
dmel-FBgn0000146	dana-FBgn0140896	dvir-FBgn0091073	dpse-FBgn0201792	dsec-FBgn0079379	dwil-FBgn0166170	dper-FBgn0216893	dyak-FBgn0217254	dsim-FBgn0163362	dere-FBgn0156737	dgri-FBgn0230801	dmoj-FBgn0193614
dmel-FBgn0000147	dana-FBgn0146276	dvir-FBgn0094857	dpse-FBgn0210608	dsec-FBgn0075920	dwil-FBgn0178854	dper-FBgn0215523	dyak-FBgn0159847	dsim-FBgn0243187	dere-FBgn0190309	dgri-FBgn0110744	dmoj-FBgn0130983
dmel-FBgn0000150	dana-FBgn0147172	dvir-FBgn0099977	dpse-FBgn0211203	dsec-FBgn0248657	dwil-FBgn0171336	dper-FBgn0212983	dyak-FBgn0161117	dsim-FBgn0067997	dere-FBgn0187960	dgri-FBgn0104153	dmoj-FBgn0126401
dmel-FBgn0000152	dana-FBgn0138098	dvir-FBgn0098728	dpse-FBgn0206596	dsec-FBgn0081961	dwil-FBgn0168308	dper-FBgn0221945	dyak-FBgn0150550	dsim-FBgn0233223	dere-FBgn0187395	dgri-FBgn0110451	dmoj-FBgn0119407
dmel-FBgn0000153	dana-FBgn0140980	dvir-FBgn0091287	dpse-FBgn0205312	dsec-FBgn0080597	dwil-FBgn0170184	dper-FBgn0226351	dyak-FBgn0158826	dsim-FBgn0236086	dere-FBgn0195294	dgri-FBgn0116024	dmoj-FBgn0118598
dmel-FBgn0000157	dana-FBgn0142771	dvir-FBgn0090375	dpse-FBgn0208410	dsec-FBgn0077581	dwil-FBgn0166845	dper-FBgn0223660	dyak-FBgn0154383	dsim-FBgn0232053	dere-FBgn0183640	dgri-FBgn0115167	dmoj-FBgn0127826
dmel-FBgn0000158	dana-FBgn0146394	dvir-FBgn0094452	dpse-FBgn0210330	dsec-FBgn0070367	dwil-FBgn0172647	dper-FBgn0215847	dyak-FBgn0150222	dsim-FBgn0086004	dere-FBgn0084466	dgri-FBgn0086014	dmoj-FBgn0122080
dmel-FBgn0000163	dana-FBgn0139704	dvir-FBgn0099320	dpse-FBgn0202089	dsec-FBgn0078624	dwil-FBgn0168423	dper-FBgn0227760	dyak-FBgn0157470	dsim-FBgn0235097	dere-FBgn0188891	dgri-FBgn0111306	dmoj-FBgn0119535
dmel-FBgn0000166	dana-FBgn0147440	dvir-FBgn0094811	dpse-FBgn0013104	dsec-FBgn0086857	dwil-FBgn0012791	dper-FBgn0212839	dyak-FBgn0044482	dsim-FBgn0242878	dere-FBgn0012864	dgri-FBgn0102523	dmoj-FBgn0126945
dmel-FBgn0000173	dana-FBgn0144223	dvir-FBgn0145438	dpse-FBgn0096242	dsec-FBgn0206180	dwil-FBgn0210535	dper-FBgn0074912	dyak-FBgn0172557	dsim-FBgn0227805	dere-FBgn0152429	dgri-FBgn0234595	dmoj-FBgn0188718
dmel-FBgn0000179	dana-FBgn0144519	dvir-FBgn0096470	dpse-FBgn0020983	dsec-FBgn0244144	dwil-FBgn0167282	dper-FBgn0217737	dyak-FBgn0233875	dsim-FBgn0188280	dere-FBgn0110916	dgri-FBgn0119554	dmoj-GI21789
dmel-FBgn0000180	dana-FBgn0140326	dvir-FBgn0092758	dpse-FBgn0020450	dsec-FBgn0078387	dwil-FBgn0172758	dper-FBgn0217587	dyak-FBgn0156553	dsim-FBgn0236266	dere-FBgn0195024	dgri-FBgn0102387	dmoj-FBgn0118545
dmel-FBgn0000181	dana-FBgn0142050	dvir-FBgn0089958	dpse-FBgn0209303	dsec-FBgn0077594	dwil-FBgn0176309	dper-FBgn0222758	dyak-FBgn0154621	dsim-FBgn0067995	dere-FBgn0182687	dgri-FBgn0112532	dmoj-FBgn0129226
dmel-FBgn0000182	dana-FBgn0140115	dvir-FBgn0091960	dpse-FBgn0205216	dsec-FBgn0078461	dwil-FBgn0173557	dper-FBgn0226729	dyak-FBgn0152911	dsim-FBgn0238566	dere-FBgn0195395	dgri-FBgn0117312	dmoj-FBgn0117875
dmel-FBgn0000183	dana-FBgn0138081	dvir-FBgn0092127	dpse-FBgn0204447	dsec-FBgn0246499	dwil-FBgn0172037	dper-FBgn0225876	dyak-FBgn0153563	dsim-FBgn0230831	dere-FBgn0193286	dgri-FBgn0113922	dmoj-FBgn0117721
dmel-FBgn0000206	dana-FBgn0147402	dvir-FBgn0093812	dpse-FBgn0013105	dsec-FBgn0080944	dwil-FBgn0214886	dper-FBgn0159401	dyak-FBgn0020664	dsim-FBgn0020078	dere-FBgn0084856	dgri-FBgn0126912	dmoj-GI24680
dmel-FBgn0000212	dana-FBgn0136176	dvir-FBgn0087407	dpse-FBgn0199034	dsec-FBgn0250014	dwil-FBgn0179319	dper-FBgn0225597	dyak-FBgn0150429	dsim-FBgn0240329	dere-FBgn0184253	dgri-FBgn0105781	dmoj-FBgn0124230
dmel-FBgn0000216	dana-FBgn0101618	dvir-FBgn0075939	dpse-FBgn0180348	dsec-FBgn0162241	dwil-FBgn0239268	dper-FBgn0186193	dyak-FBgn0107948	dsim-GD14511	dere-GG15704		
dmel-FBgn0000221	dana-FBgn0139145	dvir-FBgn0097781	dpse-FBgn0204195	dsec-FBgn0078538	dwil-FBgn0167261	dper-FBgn0217564	dyak-FBgn0158982	dsim-FBgn0233862	dere-FBgn0188259	dgri-FBgn0110901	dmoj-FBgn0131599
dmel-FBgn0000227	dana-FBgn0140625	dvir-FBgn0100932	dpse-FBgn0204557	dsec-FBgn0071526	dwil-FBgn0172986	dper-FBgn0225880	dyak-FBgn0153593	dsim-FBgn0232291	dere-FBgn0194094	dgri-FBgn0116492	dmoj-FBgn0121218
dmel-FBgn0000228	dana-FBgn0133351	dvir-FBgn0092543	dpse-FBgn0208919	dsec-FBgn0072754	dwil-FBgn0250541	dper-FBgn0172937	dyak-FBgn0226807	dsim-FBgn0156161	dere-FBgn0236373	dgri-FBgn0194056	dmoj-FBgn0116444
dmel-FBgn0000229	dana-FBgn0133403	dvir-FBgn0091153	dpse-FBgn0209001	dsec-FBgn0166853	dwil-FBgn0214454	dper-FBgn0156578	dyak-FBgn0243305	dsim-FBgn0193697	dere-FBgn0116103	dgri-FBgn0121035	dmoj-GI10639
dmel-FBgn0000233	dana-FBgn0138729	dvir-FBgn0099525	dpse-FBgn0205865	dsec-FBgn0243761	dwil-FBgn0166325	dper-FBgn0227311	dyak-FBgn0153975	dsim-FBgn0235248	dere-FBgn0188541	dgri-FBgn0110538	dmoj-FBgn0119280
dmel-FBgn0000239	dana-FBgn0140736	dvir-FBgn0092177	dpse-FBgn0206743	dsec-FBgn0081622	dwil-FBgn0178135	dper-FBgn0223103	dyak-FBgn0163442	dsim-FBgn0230703	dere-FBgn0193069	dgri-FBgn0113694	dmoj-FBgn0117781
dmel-FBgn0000241	dana-FBgn0141754	dvir-FBgn0088881	dpse-FBgn0013916	dsec-FBgn0246212	dwil-FBgn0170453	dper-FBgn0225011	dyak-FBgn0155157	dsim-FBgn0229360	dere-FBgn0196351	dgri-FBgn0112222	dmoj-FBgn0128113
dmel-FBgn0000244	dana-FBgn0145325	dvir-FBgn0093077	dpse-FBgn0197601	dsec-FBgn0248792	dwil-FBgn0181104	dper-FBgn0215844	dyak-FBgn0159817	dsim-FBgn0241872	dere-FBgn0192253	dgri-FBgn0109591	dmoj-GI22597
dmel-FBgn0000246	dana-FBgn0112568	dvir-FBgn0112578	dpse-FBgn0274146	dsec-FBgn0248078	dwil-FBgn0180610	dper-FBgn0212362	dyak-FBgn0161282	dsim-FBgn0243389	dere-FBgn0191803		
dmel-FBgn0000247	dana-FBgn0144774	dvir-FBgn0095686	dpse-FBgn0211183	dsec-FBgn0248653	dwil-FBgn0167763	dper-FBgn0224606	dyak-FBgn0161107	dsim-FBgn0241037	dere-FBgn0192904	dgri-FBgn0103994	dmoj-FBgn0127442
dmel-FBgn0000250	dana-FBgn0137434	dvir-FBgn0092349	dpse-FBgn0204339	dsec-FBgn0079173	dwil-FBgn0172817	dper-FBgn0225677	dyak-FBgn0151689	dsim-FBgn0067432	dere-FBgn0067503	dgri-FBgn0116305	dmoj-FBgn0118909
dmel-FBgn0000251	dana-FBgn0140663	dvir-FBgn0092380	dpse-FBgn0204863	dsec-FBgn0074595	dwil-FBgn0178236	dper-FBgn0216919	dyak-FBgn0156120	dsim-FBgn0230096	dere-FBgn0195628	dgri-FBgn0113432	dmoj-FBgn0119099
dmel-FBgn0000253	dana-FBgn0143329	dvir-FBgn0089869	dpse-FBgn0207916	dsec-FBgn0245890	dwil-FBgn0176232	dper-FBgn0224168	dyak-FBgn0148424	dsim-FBgn0068179	dere-FBgn0182612	dgri-FBgn0112456	dmoj-FBgn0130257
dmel-FBgn0000256	dana-FBgn0138037	dvir-FBgn0101625	dpse-FBgn0204443	dsec-FBgn0247286	dwil-FBgn0173023	dper-FBgn0225733	dyak-FBgn0156901	dsim-FBgn0232377	dere-FBgn0194121	dgri-FBgn0116529	dmoj-FBgn0117718
dmel-FBgn0000257	dana-FBgn0144186	dvir-FBgn0097205	dpse-FBgn0203661	dsec-FBgn0071544	dwil-FBgn0177835	dper-FBgn0212365	dyak-FBgn0152141	dsim-FBgn0152142	dere-FBgn0233412	dgri-FBgn0189001	dmoj-FBgn0111437
dmel-FBgn0000259	dana-FBgn0138639	dvir-FBgn0097442	dpse-FBgn0203821	dsec-FBgn0168040	dwil-FBgn0216843	dper-FBgn0233237	dyak-FBgn0188623	dsim-FBgn0110660	dere-FBgn0120224	dgri-GH12745	dmoj-GI15890
dmel-FBgn0000261	dana-FBgn0134079	dvir-FBgn0100635	dpse-FBgn0198832	dsec-FBgn0079916	dwil-FBgn0025059	dper-FBgn0214132	dyak-FBgn0237302	dsim-FBgn0022505	dere-FBgn0105943	dgri-FBgn0121850	dmoj-GI11318
dmel-FBgn0000273	dana-FBgn0140315	dvir-FBgn0098892	dpse-FBgn0205081	dsec-FBgn0078153	dwil-FBgn0167289	dper-FBgn0217463	dyak-FBgn0156815	dsim-FBgn0068096	dere-FBgn0193752	dgri-FBgn0116155	dmoj-FBgn0118534
dmel-FBgn0000274	dana-FBgn0133399	dvir-FBgn0100308	dpse-FBgn0210093	dsec-FBgn0071424	dwil-FBgn0167078	dper-FBgn0215122	dyak-FBgn0151597	dsim-FBgn0240558	dere-FBgn0188462	dgri-FBgn0104211	dmoj-FBgn0121579
dmel-FBgn0000276	dana-FBgn0145986	dvir-FBgn0280831	dpse-FBgn0280951	dsec-FBgn0095844	dwil-FBgn0017816	dper-FBgn0015675	dyak-FBgn0017815	dsim-FBgn0017817	dere-FBgn0243532	dgri-FBgn0243529	dmoj-FBgn0046928
dmel-FBgn0000277	dana-FBgn0145986	dvir-FBgn0280831	dpse-FBgn0280951	dsec-FBgn0095844	dwil-FBgn0017816	dper-FBgn0015675	dyak-FBgn0017815	dsim-FBgn0017817	dere-FBgn0243532	dgri-FBgn0243529	dmoj-FBgn0046928
dmel-FBgn0000278	dana-FBgn0281712	dvir-FBgn0093212	dpse-FBgn0025652	dsec-FBgn0216128	dwil-FBgn0240590	dper-FBgn0025038	dyak-FBgn0104245	dsim-CecB	dere-GG11950		dmoj-GI26975
dmel-FBgn0000279	dana-FBgn0145986	dvir-FBgn0280831	dpse-FBgn0280951	dsec-FBgn0095844	dwil-FBgn0017816	dper-FBgn0015675	dyak-FBgn0017815	dsim-FBgn0017817	dere-FBgn0243532	dgri-FBgn0243529	dmoj-FBgn0046928
dmel-FBgn0000283	dana-FBgn0147386	dvir-FBgn0088787	dpse-FBgn0211124	dsec-FBgn0079550	dwil-FBgn0166431	dper-FBgn0215498	dyak-FBgn0149677	dsim-FBgn0041646	dere-FBgn0041670	dgri-FBgn0112924	dmoj-FBgn0126214
dmel-FBgn0000286	dana-FBgn0143731	dvir-FBgn0098550	dpse-FBgn0203313	dsec-FBgn0071335	dwil-FBgn0172972	dper-FBgn0226552	dyak-FBgn0157094	dsim-FBgn0232250	dere-FBgn0194080	dgri-FBgn0116477	dmoj-FBgn0121138
dmel-FBgn0000287	dana-FBgn0143451	dvir-FBgn0091799	dpse-FBgn0200527	dsec-FBgn0078501	dwil-FBgn0173920	dper-FBgn0223052	dyak-FBgn0157157	dsim-FBgn0235935	dere-FBgn0195148	dgri-FBgn0115861	dmoj-FBgn0120869
dmel-FBgn0000289	dana-FBgn0141826	dvir-FBgn0089072	dpse-FBgn0207201	dsec-FBgn0081013	dwil-FBgn0176397	dper-FBgn0223545	dyak-FBgn0154809	dsim-FBgn0231224	dere-FBgn0182788	dgri-FBgn0112620	dmoj-FBgn0129305
dmel-FBgn0000299	dana-FBgn0139723	dvir-FBgn0092735	dpse-FBgn0204399	dsec-FBgn0077996	dwil-FBgn0173424	dper-FBgn0226815	dyak-FBgn0164125	dsim-FBgn0229117	dere-FBgn0194704	dgri-FBgn0117171	dmoj-FBgn0118962
dmel-FBgn0000303	dana-FBgn0133572	dvir-FBgn0094142	dpse-FBgn0201621	dsec-FBgn0071621	dwil-FBgn0172794	dper-FBgn0162019	dyak-FBgn0242621	dsim-FBgn0190751	dere-FBgn0115215	dgri-FBgn0121386	dmoj-FBgn0126108
dmel-FBgn0000307	dana-FBgn0136611	dvir-FBgn0274076	dpse-FBgn0204628	dsec-FBgn0079147	dwil-FBgn0172809	dper-FBgn0279733	dyak-FBgn0156085	dsim-FBgn0230539	dere-FBgn0193330	dgri-FBgn0112323	dmoj-FBgn0132488
dmel-FBgn0000308	dana-FBgn0134065	dvir-FBgn0091317	dpse-FBgn0199788	dsec-FBgn0081859	dwil-FBgn0172886	dper-FBgn0217412	dyak-FBgn0156693	dsim-FBgn0236333	dere-FBgn0083419	dgri-FBgn0116397	dmoj-FBgn0118197
